Region,Distributor Code,Retailer Code,Pincode,Salesman Name,Latitude,Longitude,Visits/week
TN CHN,22520,225201600002,600004,KANNIYAPPAN K,12.7530419,80.0026065,1
TN CHN,22520,225201600015,603204,KANNIYAPPAN K,12.6917099,79.9742382,2
TN CHN,22520,225201600023,603204,KANNIYAPPAN K,12.7632052,80.0036378,3
TN CHN,22520,225201600029,603204,KANNIYAPPAN K,12.7590056,80.0069935,1
TN CHN,22520,225201600078,600004,PRITHIVIRAJAN D,12.7441155,79.9902425,2
TN CHN,22520,225201600120,603209,PRITHIVIRAJAN D,12.7987039,80.0278837,3
TN CHN,22520,225201600208,603001,KANNIYAPPAN K,12.6944176,79.9760721,1
TN CHN,22520,225201600229,603001,KANNIYAPPAN K,12.6944248,79.9760272,2
TN CHN,22520,225201600238,603001,KANNIYAPPAN K,12.6906098,79.9779792,3
TN CHN,22520,225201600209,603002,KANNIYAPPAN K,12.6905237,79.9807219,1
TN CHN,22520,225201600216,603001,KANNIYAPPAN K,12.68174,79.9889367,1
TN CHN,22520,225201600212,603001,KANNIYAPPAN K,12.6826783,79.9750617,1
TN CHN,22520,225201600238,603001,KANNIYAPPAN K,12.6906098,79.9779792,1
TN CHN,22520,225201600246,603001,KANNIYAPPAN K,12.6916869,79.9742323,1
TN CHN,22520,225201600151,603209,PRITHIVIRAJAN D,12.8016,80.02544,1
TN CHN,22520,225201600208,603001,KANNIYAPPAN K,12.6944176,79.9760721,1
TN CHN,22520,225201600230,603001,KANNIYAPPAN K,12.6956865,79.976997,1
TN CHN,22520,225201600241,603001,KANNIYAPPAN K,12.69173,79.9798967,1
TN CHN,22520,225201600259,603001,KANNIYAPPAN K,12.6943344,79.9749581,1
TN CHN,22520,225201600161,600004,PRITHIVIRAJAN D,12.794825,80.0190967,1
TN CHN,22520,225201600202,603001,KANNIYAPPAN K,12.6929183,79.97903,1
TN CHN,22520,225201600206,603001,KANNIYAPPAN K,12.7608317,80.0031423,1
TN CHN,22520,225201600209,603002,KANNIYAPPAN K,12.6905237,79.9807219,1
TN CHN,22520,225201600216,603001,KANNIYAPPAN K,12.68174,79.9889367,1
TN CHN,22520,225201600220,603001,KANNIYAPPAN K,12.6918001,79.9742351,1
TN CHN,22520,225201600220,603001,KANNIYAPPAN K,12.6918001,79.9742351,1
TN CHN,22520,225201600223,603001,KANNIYAPPAN K,12.697544,79.9717689,1
TN CHN,22520,225201600129,603209,PRITHIVIRAJAN D,12.7941346,80.0277731,1
TN CHN,22520,225201600145,603209,PRITHIVIRAJAN D,12.795451,80.0263827,1
TN CHN,22520,225201600246,603001,KANNIYAPPAN K,12.6916869,79.9742323,1
TN CHN,22520,225201600248,603001,KANNIYAPPAN K,12.6922556,79.9782353,1
TN CHN,22520,225201600248,603001,KANNIYAPPAN K,12.6922556,79.9782353,1
TN CHN,22520,225201600269,603001,KANNIYAPPAN K,12.6942755,79.9765912,1
TN CHN,22520,225201600279,603001,KANNIYAPPAN K,12.6800567,79.9808367,1
TN CHN,22520,225201600283,603001,KANNIYAPPAN K,12.6683733,79.98541,1
TN CHN,22520,225201600277,603204,KANNIYAPPAN K,12.7600039,80.004668,1
TN CHN,22520,225201600277,603204,KANNIYAPPAN K,12.7600039,80.004668,1
TN CHN,22520,225201600296,603001,KANNIYAPPAN K,12.6937025,79.9782726,1
TN CHN,22520,225201600267,603001,KANNIYAPPAN K,12.6909425,79.9770986,1
TN CHN,22520,225201600284,123456,KANNIYAPPAN K,12.6813067,79.97525,1
TN CHN,22520,225201600332,603002,KANNIYAPPAN K,12.6917096,79.9742398,1
TN CHN,22520,225201600279,603001,KANNIYAPPAN K,12.6800567,79.9808367,1
TN CHN,22520,225201600295,603209,PRITHIVIRAJAN D,12.6917958,79.9742718,1
TN CHN,22520,225201600326,603001,KANNIYAPPAN K,12.6917098,79.9742362,1
TN CHN,22520,225201600307,603001,KANNIYAPPAN K,12.6962976,79.9746303,1
TN CHN,22520,225201600333,603001,KANNIYAPPAN K,12.6914434,79.974128,1
TN CHN,22520,225201600364,603001,KANNIYAPPAN K,12.6867328,79.9812957,1
TN CHN,22520,225201600309,603001,KANNIYAPPAN K,12.691694,79.9742338,1
TN CHN,22520,225201600309,603001,KANNIYAPPAN K,12.691694,79.9742338,1
TN CHN,22520,225201600316,123456,KANNIYAPPAN K,12.6917096,79.974235,1
TN CHN,22520,225201600355,603001,KANNIYAPPAN K,12.691792,79.9742538,1
TN CHN,22520,225201600356,603001,KANNIYAPPAN K,13.0150132,80.223834,1
TN CHN,22520,225201600267,603001,KANNIYAPPAN K,12.6909425,79.9770986,1
TN CHN,22520,225201600301,603001,KANNIYAPPAN K,12.6922932,79.9792433,1
TN CHN,22520,225201600328,603001,KANNIYAPPAN K,12.6104317,80.0717021,1
TN CHN,22520,225201600212,603001,KANNIYAPPAN K,12.6826783,79.9750617,1
TN CHN,22520,225201600364,603001,KANNIYAPPAN K,12.6867328,79.9812957,1
TN CHN,22520,225201600571,603204,KANNIYAPPAN K,12.7598439,80.0034037,1
TN CHN,22520,225201600578,603204,KANNIYAPPAN K,12.7599856,80.0051944,1
TN CHN,22520,225201600606,603204,KANNIYAPPAN K,12.7624065,80.0037025,1
TN CHN,22520,225201600626,603003,KANNIYAPPAN K,12.6725717,79.9992167,1
TN CHN,22520,225201600662,603204,PRITHIVIRAJAN D,12.6917098,79.9742434,1
TN CHN,22520,225201600548,603001,KANNIYAPPAN K,12.6903523,79.9802514,1
